name,category,brand,strainType,priceRec,dispensary,productUrl,price,potency,quantity
Blueberry | Major | 100mg THC Shot,EDIBLES,Major,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=d6a3991f-00bc-46f3-9ace-5b78dcf26d1b,15.6,100.0,
Yuzu Zone | Bits Gummies,EDIBLES,Bits,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=40b8fed2-a5ea-4979-8df7-910c6fda6e22,17.88,,
Fruit Punch | Major | 100mg THC Shot,EDIBLES,Major,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=b0561804-bee4-4139-9443-d74809a22c9e,15.6,100.0,
Acai Affection | Bits Gummies,EDIBLES,Bits,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=b7774efc-9887-4c3c-8a57-c4b6eac9c63f,19.5,,
Optimals Fast Asleep | Wana | 20mg Gummies (10 Pack),EDIBLES,Wana,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=29a7895b-405c-4539-9317-34151ae0fdc4,16.25,20.0,10.0
Mojo Rita | Major | 100mg THC Shot,EDIBLES,Major,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=4b6add2e-63d1-4c45-90fd-cb5952c6eb65,15.6,100.0,
1:1 Dragonfruit LOL Bits,EDIBLES,Bits,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=54df53e1-b1fc-412f-87a5-7e0ed1e150ce,17.88,,
Genius | 1906 | 100mg Tablets,EDIBLES,1906,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=0e9999be-085f-48c4-a376-a1e46685e2a1,22.75,100.0,
Assorted Berry | Ozone | 100mg Gummies,EDIBLES,Ozone,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=dd07e73d-af34-4bef-a249-2633a91fa56c,9.1,100.0,
Strawberry | Ozone | 100mg Gummies,EDIBLES,Ozone,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=bdfb2e1e-c427-4c22-addf-364a812f3db5,9.29,100.0,
Blue Raspberry | Ozone | 100mg Gummies,EDIBLES,Ozone,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=16b223e2-1b1d-440d-8325-73d373dbe04f,11.05,100.0,
Blood Orange | Ozone | 100mg Gummies,EDIBLES,Ozone,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=d59cac52-71b5-4541-9e17-235c26646867,9.1,100.0,
Sour Black Cherry RSO Hybrid Gummies [10pk] 100mg,EDIBLES,Encore Edibles,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=5ba2f7ce-78c0-4d1d-b9e0-629f58e2007c,17.88,100.0,10.0
1:1:1 Blackberry Lemonade Pearls (CBN/CBD/THC) | Gron | 100mg Gummies (10 piece),EDIBLES,Gron,INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=79d15873-1655-4aa9-9e18-a534ced45f2f,18.0,100.0,10.0
Tropical Mango RSO Sativa Gummies [10pk] 100mg,EDIBLES,Encore Edibles,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=1efc9e51-7e8b-42e4-9ccd-0b8254e061d9,17.88,100.0,10.0
2:1:1 Tangelo Pearls (THC/CBC/CBG) | Gron | 200mg Gummies,EDIBLES,Gron,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=061ac9ee-8373-4822-bed3-53946e331c2b,18.0,200.0,
4:1 Pomegranate Pearls (CBD/THC) | Gron | 100mg Gummies (10 piece),EDIBLES,Gron,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=4fba7ddf-a86e-4cdd-853d-9b0ba3054d8a,18.0,100.0,10.0
1:1 CBN:THC Peach Ginger Tincture,TINCTURES,Avexia,NOT_APPLICABLE,,shopcuzzies,https://www.shopcuzzies.com/?product=83affe3d-00af-48f3-8f00-e50f38091033,26.0,,
Harvest Apple THC Tincture (30ml),TINCTURES,Avexia,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=c48824cf-854f-4a5d-bae6-0f5f3be42803,19.5,100.0,
3:1 Blueberry Lemonade Pearls (CBG/THC) | Gron | 100mg Gummies 10pcs,EDIBLES,Gron,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=f2fb4b9f-284a-424c-abb6-9513892426b1,18.0,100.0,10.0
Strawberry Orange Cream 1:1 CBD:THC [30ml] 1g Tincture,TINCTURES,Avexia,NOT_APPLICABLE,,shopcuzzies,https://www.shopcuzzies.com/?product=fff7c780-5f6d-40d2-93af-9599616c40db,26.0,100.0,
Red Bullz | Seed & Strain Flower,FLOWER,Seed & Strain,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=ef445e2b-f231-4cae-ba5a-0a952518d263,27.0,,
Go | 1906 | 100mg Tablets,EDIBLES,1906,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=33e30aaf-70d4-4173-bab6-bc96bbb0ecf6,22.75,100.0,
Chill Tablets | 1906 | 100mg Tablets,EDIBLES,Chill Tablets,INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=3c76fa77-d6a0-4ea3-8b68-bf193cb0aeaf,22.75,100.0,
Classic Watermelon | Wana | 100mg Gummies (10 piece),EDIBLES,Wana,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=3150d9c7-5053-4315-b58b-36a2e02ac8bd,18.2,100.0,10.0
Classic Blueberry | Wana | 100mg Gummies (10 piece),EDIBLES,Wana,INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=d6449871-9b88-4e91-9d43-29a840d36da0,18.2,100.0,10.0
Classic Mango | Wana | 100mg Gummies (10 piece),EDIBLES,Wana,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=567ef797-05c7-40d5-8d59-472abb0d9e88,18.2,100.0,10.0
The Growfather | Tropical Charge Nano-Infused Gummies (S) (THC:CBG) | 100mg Gummies (10 pcs),EDIBLES,Little Leaf (Little Leaf Labs LLC.),SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=1a38ccd3-4318-40b8-97e0-33e028db19ab,9.7,100.0,10.0
Sunny Sativa | Ogeez (The Creams) | 100mg Gummies,EDIBLES,O'Geez,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=b5b537cc-e35d-4f16-b23d-ec86540d811c,12.0,100.0,
Cappucino Nano-Infused Gummies | The Grow Father | 100mg Gummies (10 piece),EDIBLES,The Grow Father,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=e7862d92-6631-44ba-980e-24c7e78dab6f,11.88,100.0,10.0
Dream Berry Nano-Infused Gummies (I) (THC:CBN) | The Growfather | 100mg Gummies (10 pcs),EDIBLES,Little Leaf (Little Leaf Labs LLC.),INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=414b6130-c836-4b5e-9463-5facf01455e2,10.0,100.0,10.0
Boysenberry (CBN + CBD 1:1:1 THC) | WYLD | 100mg Gummies,EDIBLES,Wyld,NOT_APPLICABLE,,shopcuzzies,https://www.shopcuzzies.com/?product=3eafd660-5ee0-4fff-8c88-d472e56c5775,16.9,100.0,
Mellow Indica | Ogeez (The Creams) | 100mg Gummies,EDIBLES,O'Geez,INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=6871c9ee-8b0b-47ac-8e50-0f12a9e01585,12.0,100.0,
Pear (CBG 1:1 THC) | WYLD | 100mg Gummies,EDIBLES,Wyld,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=4d022684-debd-421d-af8a-5f9af290cd7c,16.9,100.0,
Raspberry (S) | WYLD | 100mg Gummies,EDIBLES,Wyld,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=858293e5-f8e3-4671-a56c-fd9ea0937d31,14.3,100.0,
Aquaberry 2:1 CBN | Ogeez (Sleep Edition) | 100mg Gummies,EDIBLES,O'Geez,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=d7a6f0b2-897d-4662-9d10-ca8a0d30084f,14.4,100.0,
Mellow Indica | Ogeez (The Fruits) | 100mg Gummies,EDIBLES,O'Geez,INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=3f32a162-6e75-4533-9bb9-b6310b6c4b11,12.0,100.0,
Raspberry Orange | Ogeez (Peg's RSO) |  100mg RSO Gummies,EDIBLES,O'Geez,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=714851e3-79a4-4c20-b75a-9860522c0e5d,16.8,100.0,
Strawberry Nano-Infused Gummies | The Growfather | 100mg Gummies,EDIBLES,Little Leaf (Little Leaf Labs LLC.),HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=ceab28fd-6dac-4af7-8182-490ac6a72576,10.0,100.0,10.0
Quick Island Punch Indica | Wana | 100mg Gummies (10 piece),EDIBLES,Wana,INDICA,,shopcuzzies,https://www.shopcuzzies.com/?product=64d01160-5846-4612-a632-181de025bbe0,16.25,100.0,10.0
Sour Apple (S) | WYLD | 100mg Gummies,EDIBLES,Wyld,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=afdab7e8-ae25-4c84-9f76-3e8a6c20e654,14.3,100.0,
Strawberries and Cream 1:1 CBD | Ogeez (Happy Balance) | 100mg Gummies,EDIBLES,O'Geez,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=d3648868-9928-42a7-b43c-4c6ea782c343,14.4,100.0,
1:1:1 Recovery Stick | Drool | Topical,TOPICALS,Drool,HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=8c23ad5e-0ac1-45e0-bf9a-186eb8e5954b,50.7,500.0,
Lemon Cherry Gelato |  High Grass Farms,FLOWER,High Grass Farms Premium,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=93119f31-0b6f-4349-9d41-6bc92ec23c82,33.0,,
Strawberry Mango Haze | Anthologie Flower,FLOWER,Anthologie,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=ac648832-8362-4b0e-b122-bfb664e2472e,91.0,,14.0
Apples N Bananas | 0.5 Pre-Roll (3 Pack)  | High Grass Farms,PRE_ROLLS,High Grass Farms Premium,SATIVA,,shopcuzzies,https://www.shopcuzzies.com/?product=4603e162-5d66-42ca-99d6-fc234e9b4780,18.2,,3.0
Weymouth Sour Berry | 0.5 Pre-Roll (3 Pack)  | High Grass Farms,PRE_ROLLS,High Grass Farms Premium,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=bb84c45e-db77-4ef5-85c6-ab09914fe140,18.2,,3.0
Sugar Sand Flower | High Grass Farms,FLOWER,High Grass Farms Premium,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=299292c4-b1ea-4cf4-9315-483dcac25eca,27.0,,
Weymouth Sour Berry Flower  | High Grass Farms,FLOWER,High Grass Farms Premium,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=3147f668-f529-40e7-9f59-16f32cdfa725,35.75,,
Yodanana (I) | Hamilton Farms Pre-Roll,PRE_ROLLS,Hamilton Farms,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=23fb9ef5-6900-4bd5-a8da-b7af58c61b49,9.75,,
Black Cherry Punch | Fulltilt Labs Pre-Roll (2 Pack),PRE_ROLLS,Fulltilt Labs,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=f21813ba-2db6-416d-bdad-fb4461c1a4f0,14.4,,2.0
Devil's Diesel | Seed & Strain Flower,FLOWER,Seed & Strain,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=63bdb217-3405-44fa-8671-eb94d65511c3,143.0,,
Animal Mint Cake | Crops Flower,FLOWER,Crops,INDICA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=054cf0a9-0cec-47f9-98b0-2dfe54ba13e1,30.0,,
Rainbow #1 | Pete's Farmstand Pre-Roll,PRE_ROLLS,Pete's Farmstand,SATIVA_HYBRID,,shopcuzzies,https://www.shopcuzzies.com/?product=1d42ea09-f6e9-464e-996c-7f90321ef4e1,7.8,,
